tick	kind	agent_a	agent_b	value
95	venture_success	515	508	0.875095
95	venture_failure	513	505	0.653297
95	venture_success	505	510	0.074325
95	venture_failure	509	502	-0.227938
95	venture_success	511	509	0.108649
95	venture_failure	512	506	0.311164
96	venture_failure	4294967862	508	-0.284796
96	venture_success	513	505	0.801990
96	venture_failure	509	507	-0.541531
97	venture_failure	502	4294967862	-0.287827
97	venture_success	4294967862	506	0.249462
97	venture_success	513	502	0.766774
97	venture_success	505	502	0.088792
97	venture_success	508	515	1.000000
97	venture_failure	511	507	-0.223943
97	venture_success	512	506	0.459921
98	venture_failure	515	508	0.898000
98	venture_failure	507	502	-0.470200
98	venture_success	508	506	0.210790
98	venture_failure	509	511	0.007999
98	venture_failure	511	506	0.041794
99	venture_success	502	515	0.465227
99	venture_failure	4294967862	512	-0.240847
99	venture_failure	505	513	0.697188
99	venture_failure	510	508	-0.068019
99	venture_failure	512	506	0.358083
100	venture_failure	515	502	0.364296
100	venture_failure	4294967862	510	-0.287214
100	venture_failure	508	513	0.125526
100	venture_success	509	512	-0.169356
100	venture_success	512	508	0.246968
100	agent_birth	12884902489	0	146.148468
101	venture_success	515	502	0.513568
101	venture_failure	502	510	-0.443537
101	venture_failure	505	509	-0.272292
101	venture_failure	508	515	0.792623
101	venture_success	509	510	1.000000
101	venture_failure	510	513	0.544950
101	venture_failure	512	509	-0.269017
102	venture_success	502	512	0.435617
102	venture_success	513	510	0.693861
102	venture_failure	507	509	-0.635065
102	venture_success	509	510	1.000000
102	venture_failure	511	506	-0.058539
102	venture_success	512	502	0.585617
102	agent_death	511	0	0.000000
102	relationship_destroyed	502	511	0.000000
102	relationship_destroyed	505	511	0.000000
102	relationship_destroyed	507	511	0.000000
102	relationship_destroyed	508	511	0.000000
102	relationship_destroyed	511	513	0.000000
102	relationship_destroyed	509	511	0.000000
102	relationship_destroyed	511	512	0.000000
102	relationship_destroyed	511	515	0.000000
102	relationship_destroyed	506	511	0.000000
102	relationship_destroyed	510	511	0.000000
102	relationship_destroyed	511	4294967862	0.000000
103	venture_success	515	508	0.939455
103	venture_failure	502	513	0.657619
103	venture_failure	4294967862	510	-0.385494
103	venture_failure	513	508	0.024775
103	venture_failure	506	507	-0.005491
103	venture_success	507	510	1.000000
103	relationship_created	508	12884902489	-0.100000
103	venture_failure	508	12884902489	-0.100000
103	venture_failure	510	509	0.898000
103	venture_failure	512	508	0.145489
104	venture_success	502	512	0.733276
104	venture_success	513	510	0.841088
104	venture_success	505	513	0.840244
104	relationship_created	506	12884902489	-0.100000
104	venture_failure	506	12884902489	-0.100000
104	venture_failure	507	510	0.898000
104	venture_failure	508	502	-0.130455
104	relationship_created	505	12884902489	-0.100000
104	venture_failure	12884902489	505	-0.100000
105	venture_success	509	510	1.000000
105	venture_success	510	509	1.000000
105	venture_success	512	506	0.503808
106	venture_failure	502	513	0.553681
106	venture_failure	505	506	-0.372176
106	venture_success	507	510	1.000000
107	venture_success	515	502	0.657436
107	venture_success	510	507	1.000000
107	relationship_created	4294967862	12884902489	-0.100000
107	venture_failure	12884902489	4294967862	-0.100000
107	venture_failure	512	506	0.401794
108	venture_success	515	502	0.806121
108	venture_failure	4294967862	512	-0.336546
108	venture_failure	508	506	0.106612
108	venture_failure	509	502	-0.322082
108	relationship_created	512	12884902489	0.150000
108	venture_success	12884902489	512	0.150000
108	venture_success	512	502	0.877428
109	venture_success	502	512	1.000000
109	venture_failure	4294967862	512	-0.435873
109	venture_failure	506	515	-0.092107
109	venture_failure	507	512	-0.363807
109	venture_failure	510	513	0.732711
109	venture_success	512	510	-0.223415
