# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
1192	1180	12884902463	0.2518	1113	1777
1191	1180	4294967858	-0.0577	1114	1933
12884902497	4294967924	12884902463	-0.0986	1624	1929
12884902593	4294967803	12884902463	0.5313	1623	1778
17179869721	492	12884902463	0.6291	1618	1837
8589935198	4294967860	12884902463	-0.1953	1618	1979
12884902492	479	17179869811	-0.1801	1618	1945
8589935330	491	17179869811	-0.2094	1616	1872
12884902409	496	12884902463	-0.3095	1616	1753
8589935208	478	17179869811	-0.1078	1616	1628
21474837022	4294967882	17179869811	-0.0685	1613	1505
8589935310	483	17179869811	0.0937	1612	1598
12884902594	4294967857	17179869811	0.1307	1609	1984
1190	1180	4294968032	0.2745	1114	1973
17179869866	4294968046	17179869811	-0.1832	1603	1608
12884902577	496	17179869811	0.0392	1600	1826
12884902455	4294967924	17179869811	0.2224	1600	1687
21474837122	485	12884902555	-0.1135	1599	1783
12884902541	475	17179869811	-0.1076	1598	1495
12884902587	4294967924	21474837110	-0.1855	1598	1961
1189	992	1180	0.0724	1116	1573
4294967797	12884902463	17179869811	-0.1710	1598	1744
4294967933	496	21474837110	0.4508	1595	1914
4294967901	479	21474837110	-0.1677	1593	1692
4294967894	491	21474837110	-0.2067	1592	1978
4294968006	492	21474837110	-0.0921	1591	1932
4294968043	4294967942	17179869811	0.0081	1590	1212
4294967884	479	12884902555	-0.2161	1590	1636
4294968018	4294967860	21474837110	-0.1380	1589	1728
8589935128	4294967803	21474837110	-0.1475	1588	1932
4294967848	12884902463	12884902555	0.7079	1587	1918
4294967846	4294967942	21474837110	-0.1019	1586	1996
4294968048	12884902555	21474837110	-0.2640	1583	1791
4294968049	478	21474837110	-0.0428	1581	1739
4294967804	12884902555	17179869811	0.3726	1581	1986
4294967992	4294967857	21474837110	-0.1379	1579	1524
4294967982	4294967882	4294967996	0.0303	1578	1425
8589935254	483	4294967996	0.1269	1578	1683
4294968038	4294967942	4294967996	0.0571	1577	1465
8589935224	491	12884902463	0.0144	1576	1927
4294967953	4294967860	4294967996	-0.0656	1575	1875
1167	475	1149	0.3181	1127	1854
8589935207	17179869811	21474837110	0.0267	1574	1759
4294967932	491	4294967996	0.8277	1573	1915
4294967895	4294967996	12884902555	0.0347	1573	1841
4294967888	4294967996	4294968046	-0.1782	1572	1902
4294967862	4294967860	17179869811	0.2377	1570	1799
4294967847	479	4294967996	-0.1672	1570	1741
4294967835	475	4294967996	-0.0218	1567	1861
4294967826	4294967996	21474837110	-0.2322	1567	1612
8589935194	483	21474837110	-0.1216	1565	1846
4294967807	4294968046	21474837110	-0.2117	1564	1699
8589935087	4294967882	21474837110	0.4187	1559	1854
4294968015	483	12884902555	-0.2443	1558	1865
1187	496	1180	-0.1223	1117	1702
4294967959	478	4294967996	0.0014	1557	1939
4294968022	4294967996	12884902463	-0.0914	1557	1641
932	906	4294967996	-0.2377	1303	1997
4294967931	492	4294967996	0.0859	1554	1712
4294967907	485	4294967996	0.0223	1554	1998
931	906	12884902463	-0.1691	1304	1683
4294967893	4294967924	4294967996	-0.3225	1553	1828
930	4294968092	12884902555	-0.0530	1304	1490
4294967879	492	17179869811	0.2835	1551	1961
4294968112	4294968126	12884902555	0.1725	1363	1895
4294967861	485	21474837110	-0.1653	1549	1954
929	4294968094	4294968126	0.2794	1304	1956
4294968117	4294967882	4294968126	0.1204	1367	1986
907	479	906	-0.1245	1319	1328
927	906	4294968046	-0.1832	1306	1824
926	479	4294968092	0.5412	1307	1973
1186	491	1180	-0.1201	1117	1318
4294968004	483	4294967796	0.0928	1539	1916
4294968024	4294967796	4294967942	0.2152	1538	1781
1185	776	992	0.2598	1118	1987
4294967981	496	4294967796	-0.3109	1536	1914
4294968037	4294967796	4294967803	-0.1051	1535	1869
4294967955	4294967857	4294967996	0.6633	1534	1852
4294968128	492	4294968126	-0.2104	1375	1875
4294967925	4294967796	4294968032	-0.3532	1533	1971
4294967906	4294968032	21474837110	-0.0336	1533	1803
925	4294968032	4294968092	-0.2920	1307	1978
4294967897	479	4294967796	0.6226	1532	1941
4294967892	4294967796	21474837110	-0.1071	1529	1870
4294968131	4294967858	4294967882	0.5675	1376	1836
4294967855	4294967803	4294967996	-0.1423	1527	1590
4294968134	483	847	-0.1587	1377	1934
4294967810	4294967796	4294968046	0.0085	1526	1795
4294967814	478	4294967796	0.2131	1526	1934
924	4294967882	4294968092	0.7601	1308	1863
4294968184	4294968126	21474837110	-0.0263	1378	1945
4294968152	847	4294967803	0.1579	1379	1908
4294967873	485	4294967796	-0.1706	1523	1718
4294967867	4294967796	12884902555	-0.1919	1521	1893
4294967842	496	4294967858	-0.1323	1518	1521
4294967831	4294967803	4294967858	0.6494	1518	1999
4294967823	4294967858	4294968032	0.5344	1517	1889
755	4294967858	12884902555	-0.1063	1517	1909
923	485	4294968094	-0.0928	1309	1555
757	4294967796	4294967858	-0.0922	1516	1565
758	492	4294967858	-0.1352	1514	1811
8589935441	847	4294968126	-0.0560	1380	1798
760	478	4294967858	0.1559	1513	1993
761	4294967803	17179869811	0.0249	1513	1673
762	4294967857	4294967858	-0.1240	1513	1733
763	4294967796	4294967857	-0.1946	1512	1794
764	475	21474837110	0.9417	1511	1970
765	4294967858	4294967860	0.0896	1510	1926
766	485	17179869811	-0.0438	1510	1675
767	491	4294967858	0.1581	1510	1969
768	475	4294967858	-0.0527	1509	1852
1184	1085	4294968224	0.0753	1118	1811
8589935420	4294967942	4294968126	0.2649	1380	1912
4294968090	496	4294968126	0.0435	1385	1951
772	4294967858	17179869811	-0.0192	1503	1864
773	4294967996	17179869811	-0.0712	1501	1815
774	491	4294967796	-0.1543	1500	1826
775	4294967858	21474837110	0.0374	1500	1684
777	12884902463	21474837110	0.0060	1499	1969
868	492	776	0.9900	1422	1995
779	475	4294967796	-0.1033	1498	1838
780	483	4294967858	-0.1946	1498	1872
781	776	12884902555	-0.1119	1498	1962
782	776	17179869811	0.8079	1497	1999
783	4294968032	17179869811	-0.0044	1496	1650
784	4294967796	17179869811	0.0479	1496	1341
785	776	4294967942	-0.0598	1496	1572
862	485	847	0.0048	1430	1703
787	4294967796	4294967996	0.0136	1494	1951
788	776	4294967996	-0.0883	1494	1961
789	479	4294967858	-0.2338	1490	1848
865	776	847	-0.2218	1426	1813
791	776	4294968032	0.0550	1489	1840
792	485	776	-0.1764	1487	1660
793	776	4294968046	0.0291	1487	1717
8589935433	475	4294968126	-0.1261	1386	1924
8589935432	847	4294967796	-0.2866	1386	1869
797	479	776	0.0466	1478	1936
854	847	4294967924	-0.1869	1436	1767
8589935428	4294967796	4294968126	-0.0696	1388	1257
4294968181	491	4294968126	0.7809	1388	1967
801	4294967796	4294967860	-0.1551	1476	1870
4294968170	496	776	-0.1261	1389	1580
803	485	4294967858	0.1243	1475	1811
1183	847	1180	0.2168	1118	1909
805	492	4294967796	-0.1951	1474	1799
861	847	4294967942	0.3875	1430	1952
4294968122	776	4294968126	-0.1339	1396	1856
808	4294967858	4294968046	-0.0734	1473	1820
809	776	4294967924	-0.1102	1473	1977
810	4294967858	4294967996	0.5412	1472	1987
811	776	4294967858	-0.3424	1472	1927
4294968139	847	4294967996	-0.2256	1407	1847
4294968121	4294967803	4294968126	0.4481	1394	1883
814	776	4294967860	-0.2572	1468	1988
815	475	776	-0.0952	1467	1903
859	478	847	-0.0109	1433	1618
817	776	4294967882	0.2764	1462	1911
818	483	776	-0.2802	1462	1730
819	4294967996	4294968032	-0.1505	1462	1752
4294968149	776	21474837110	-0.1489	1408	1429
4294968151	496	847	0.0834	1408	1970
823	4294967796	4294967924	0.5735	1459	1966
4294968133	475	847	-0.3010	1403	1938
893	874	12884902463	-0.0134	1390	610
1182	1180	17179869811	0.3223	1118	1804
827	4294967858	4294967924	0.1180	1456	1969
892	847	4294967857	0.1177	1391	1551
829	4294967858	12884902463	-0.1121	1455	1915
4294968160	847	4294968046	-0.2263	1410	1853
872	847	4294967858	-0.0101	1421	1560
886	4294968126	12884902463	0.1311	1394	1884
887	4294968126	17179869811	0.0531	1393	1688
834	491	776	-0.1673	1451	1558
4294968167	847	4294967882	-0.0285	1412	1835
891	4294967858	4294968126	-0.2098	1392	1890
879	847	17179869811	-0.0103	1416	1962
1181	1120	4294968094	-0.2647	1119	1768
839	4294967796	12884902463	-0.1923	1448	1918
869	847	4294967860	-0.1803	1422	1959
890	4294967996	4294968126	0.1281	1392	1567
842	776	12884902463	-0.1859	1445	1708
889	485	4294968126	-0.2169	1393	1829
860	4294967796	4294967882	-0.1865	1431	1680
845	496	4294967996	-0.2429	1441	1960
846	776	4294967803	-0.4425	1441	1980
1179	1050	4294968092	-0.1403	1121	1964
873	847	4294968032	0.0201	1420	1581
850	491	847	-0.2883	1438	1843
851	479	847	0.0282	1437	1875
852	478	776	0.1235	1437	1960
922	906	21474837110	0.0393	1310	1871
921	475	4294968092	-0.1968	1310	1871
920	491	4294968092	-0.1491	1311	1829
4294968082	776	4294967857	-0.0477	1359	1606
4294968074	4294968032	4294968126	-0.0597	1359	1159
4294968067	4294967942	4294968094	-0.1873	1359	1984
4294968066	4294968094	12884902463	-0.0832	1358	1374
4294968055	4294967858	4294968094	-0.3126	1358	1903
4294968052	4294967924	4294968094	-0.3165	1357	1885
919	491	906	-0.2227	1312	1780
918	4294968032	4294968094	-0.1038	1312	1802
8589935109	491	4294968094	-0.1236	1356	1963
8589935125	4294967796	4294968094	0.9084	1355	1952
8589935174	483	4294968126	-0.0677	1355	1756
8589935338	475	4294968094	-0.1844	1355	1993
8589935248	4294967860	4294968094	-0.2176	1350	1990
8589935102	4294967860	4294968126	-0.0816	1350	1796
917	906	12884902555	0.1616	1314	1905
8589935115	492	4294968094	-0.0509	1349	1951
916	4294967882	4294968094	-0.2293	1314	1814
8589935233	483	4294968094	-0.3405	1347	1954
1178	906	1120	0.0668	1123	1834
8589935340	847	21474837110	-0.0463	1347	1933
914	906	4294968092	-0.1238	1315	1980
12884902502	478	4294968094	-0.0946	1345	1680
8589935296	4294967803	4294968094	-0.0244	1345	1867
4294968098	4294967996	4294968094	0.8268	1344	1905
910	479	4294968094	0.8578	1318	1986
4294968095	478	4294968126	0.4343	1341	1968
4294968091	847	12884902463	0.0523	1338	1907
1177	496	906	0.0268	1123	1971
8589935449	847	4294968092	-0.0668	1336	1901
8589935459	4294968046	4294968092	0.4567	1336	1984
909	475	906	-0.0770	1319	1796
4294968171	847	12884902555	-0.0562	1335	1786
4294968172	4294967857	4294968126	-0.0671	1335	1808
4294968173	4294968092	4294968126	-0.2467	1335	1990
4294968176	4294967924	4294968126	-0.1077	1334	1757
4294968178	4294967858	4294968092	-0.1961	1333	1922
1176	485	1085	-0.2644	1123	1920
894	4294968092	4294968094	-0.2905	1329	1902
895	479	4294968126	-0.0602	1328	1914
896	483	4294968092	-0.1446	1328	1454
897	492	4294968092	-0.0841	1326	1924
911	906	4294967942	0.2181	1317	1977
899	4294967858	4294967942	0.0045	1325	1682
900	496	4294968094	-0.1797	1323	1623
1175	957	1120	0.7504	1124	1987
902	4294968046	4294968094	-0.1322	1322	1599
903	485	4294968092	-0.1962	1322	1684
904	4294968094	12884902555	-0.0007	1321	1761
905	478	4294968092	-0.0831	1321	1538
8589935455	4294967942	4294968092	-0.2462	1302	1977
4294968209	485	4294968224	-0.0123	1299	1644
4294968208	4294967924	4294968092	-0.1610	1299	1659
4294968204	4294967942	4294968224	0.0961	1299	1566
4294968194	4294968046	4294968126	0.6150	1297	1979
12884902758	4294968224	12884902463	-0.0109	1296	1982
8589935392	4294967860	4294968092	-0.0015	1296	1952
12884902491	478	4294968224	0.4699	1295	1764
12884902467	4294968032	4294968224	-0.0031	1292	1712
12884902429	4294968224	12884902555	0.3394	1291	1876
12884902401	906	17179869811	0.0437	1291	1840
12884902477	776	4294968092	-0.1639	1291	1844
12884902475	492	847	0.4288	1291	1995
8589935382	4294967860	4294968224	0.2973	1289	1913
12884902754	4294967803	4294968224	0.1535	1288	1845
12884902392	906	4294968224	-0.0613	1288	1442
8589935450	776	4294967796	-0.3261	1288	1985
8589935470	906	4294967882	0.0602	1287	1817
8589935425	496	4294968224	-0.1860	1286	1951
8589935423	4294968224	17179869811	0.6463	1286	1990
8589935473	906	4294967803	-0.1313	1286	1778
8589935416	475	4294968224	0.4813	1286	1986
1174	1149	4294968046	-0.0866	1124	1771
8589935405	776	4294968094	-0.1858	1285	1567
8589935404	4294968094	17179869811	-0.0543	1284	1936
8589935399	4294968092	21474837110	-0.1152	1284	1672
933	4294967857	4294968092	-0.0478	1284	1949
934	4294968046	4294968224	-0.0879	1283	1387
935	485	906	0.9024	1280	1982
937	4294967996	4294968092	0.2836	1279	1874
938	4294968094	21474837110	-0.1298	1279	1826
939	4294968094	4294968224	-0.1389	1278	1725
940	479	936	-0.1461	1278	1763
941	906	936	0.0197	1277	1851
942	936	4294968046	-0.0059	1277	1749
943	492	906	-0.0399	1275	1755
944	492	4294968224	0.3060	1275	1876
945	936	4294967882	0.5654	1274	1992
946	4294968224	21474837110	0.3357	1273	1796
947	4294968126	4294968224	0.0651	1272	1714
948	936	4294967796	-0.2247	1272	1846
949	4294968092	17179869811	-0.2110	1269	1999
950	776	936	0.0728	1269	1689
951	936	4294967942	-0.2816	1267	1969
952	936	4294968224	0.0651	1264	1687
953	936	4294967803	0.8686	1263	1961
954	479	4294968224	-0.2007	1263	1841
955	483	906	-0.0916	1260	1799
956	478	936	0.0623	1260	1854
958	936	12884902555	0.5136	1259	1979
959	906	4294967858	0.5410	1259	1963
960	847	4294968224	0.9091	1258	1972
961	906	957	-0.2312	1258	1846
962	4294967882	4294968224	0.6829	1257	1994
963	847	957	-0.3809	1257	1977
